,Location,Price,Sqft,Bath,Bed,Street,zipcode
388,"1301 Town Creek Dr UNIT 3, Austin, TX 78741",950000.0,2528,4,3,1301 Town Creek Dr UNIT 3, 78741
390,"13103 Humphrey Dr, Austin, TX 78729",546000.0,1748,2,3,13103 Humphrey Dr, 78729
391,"5935 Cherry Loop, Austin, TX 78745",650000.0,1436,2,3,5935 Cherry Loop, 78745
392,"5515 Hibiscus Dr, Austin, TX 78724",346000.0,942,2,2,5515 Hibiscus Dr, 78724
393,"700 Great Britain Blvd, Austin, TX 78748",342500.0,880,1,2,700 Great Britain Blvd, 78748
394,"15201 Thatcher Dr, Austin, TX 78717",698000.0,2895,3,4,15201 Thatcher Dr, 78717
395,"1400 Lorraine Loop #1400, Austin, TX 78758",499000.0,1863,3,3,1400 Lorraine Loop #1400, 78758
396,"8400 Alta Verde Dr, Austin, TX 78759",544900.0,1916,3,3,8400 Alta Verde Dr, 78759
397,"1433 Bradbury Ln, Austin, TX 78753",540000.0,2687,3,3,1433 Bradbury Ln, 78753
398,"12012 Ladrido Ln, Austin, TX 78727",575000.0,2135,2,4,12012 Ladrido Ln, 78727
399,"1314 Westover Rd, Austin, TX 78703",5999999.0,4400,5,5,1314 Westover Rd, 78703
400,"7008 Halesboro Dr, Austin, TX 78736",795000.0,2541,3,4,7008 Halesboro Dr, 78736
401,"9105 Tweed Berwick Dr, Austin, TX 78750",890000.0,2669,3,4,9105 Tweed Berwick Dr, 78750
403,"5506 Buffalo Pass #B, Austin, TX 78745",460000.0,1290,2,3,5506 Buffalo Pass #B, 78745
404,"14712 Bescott Dr, Austin, TX 78728",550000.0,2455,2,4,14712 Bescott Dr, 78728
405,"1705 Palo Duro Rd, Austin, TX 78757",525000.0,1599,2,3,1705 Palo Duro Rd, 78757
406,"8907 Little Walnut Pkwy, Austin, TX 78758",465000.0,1564,2,3,8907 Little Walnut Pkwy, 78758
407,"4414 Merle Dr UNIT 1, Austin, TX 78745",699900.0,1390,3,3,4414 Merle Dr UNIT 1, 78745
408,"5704 Tahoma Pl, Austin, TX 78759",775000.0,2389,2,4,5704 Tahoma Pl, 78759
409,"8600 Wood Stork Dr, Austin, TX 78729",515000.0,2416,3,4,8600 Wood Stork Dr, 78729
410,"9004 Palmito Dr, Austin, TX 78717",659900.0,2514,4,4,9004 Palmito Dr, 78717
411,"5321 Downs Dr, Austin, TX 78721",488000.0,1360,2,3,5321 Downs Dr, 78721
412,"1304 Cardinal Hill Cir, Austin, TX 78758",599900.0,2950,4,4,1304 Cardinal Hill Cir, 78758
413,"1903 Big Horn Dr, Austin, TX 78734",5350000.0,5413,6,6,1903 Big Horn Dr, 78734
414,"7016 Ranchito Dr, Austin, TX 78744",390000.0,1472,2,3,7016 Ranchito Dr, 78744
415,"5401 Baythorne Dr, Austin, TX 78747",450000.0,1840,3,3,5401 Baythorne Dr, 78747
416,"11429 Glen Falloch Ct, Austin, TX 78754",595000.0,3938,4,6,11429 Glen Falloch Ct, 78754
417,"300 Arroyo Vista Dr, Manchaca, TX 78652",869000.0,2117,3,4,300 Arroyo Vista Dr, 78652
418,"6901 Barstow Ct, Austin, TX 78749",850000.0,2824,4,4,6901 Barstow Ct, 78749
419,"7211 Summer Tanager Dr, Austin, TX 78744",474676.0,2586,3,5,7211 Summer Tanager Dr, 78744
420,"2112 Ravenscroft Dr, Austin, TX 78748",449500.0,1646,2,3,2112 Ravenscroft Dr, 78748
421,"2905 Rogge Ln, Austin, TX 78723",304900.0,816,1,2,2905 Rogge Ln, 78723
422,"6803 Danwood Dr, Austin, TX 78759",599999.0,1934,3,3,6803 Danwood Dr, 78759
423,"1901 Hether St, Austin, TX 78704",3195000.0,3209,5,4,1901 Hether St, 78704
424,"8312 Stillwood Ln, Austin, TX 78757",624500.0,1753,3,4,8312 Stillwood Ln, 78757
426,"7609 Summervale Dr, Austin, TX 78737",995000.0,2481,3,3,7609 Summervale Dr, 78737
427,"9200 Ashton Rdg, Austin, TX 78750",693000.0,2538,3,4,9200 Ashton Rdg, 78750
428,"12216 Alcanza Dr, Austin, TX 78739",1275000.0,3250,3,4,12216 Alcanza Dr, 78739
429,"8021 Scotland Yard, Austin, TX 78759",565000.0,1397,2,3,8021 Scotland Yard, 78759
