Location,Price,Sq. ft.,Ba,Br,Link
"2601 Coatbridge Dr, Austin, TX 78745","$599,000 ","1,695 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/2601-Coatbridge-Dr-Austin-TX-78745/29483144_zpid/
"3813 Wilson St, Austin, TX 78704","$2,490,000 ","3,114 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/3813-Wilson-St-Austin-TX-78704/29478743_zpid/
"1706 Romeria Dr, Austin, TX 78757","$1,990,000 ","3,027 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/1706-Romeria-Dr-Austin-TX-78757/29414821_zpid/
"6508 Taylorcrest Dr, Austin, TX 78749","$639,000 ","2,293 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/6508-Taylorcrest-Dr-Austin-TX-78749/29492060_zpid/
"8624 Wiley Way, Austin, TX 78747","$356,000 ","2,068 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/8624-Wiley-Way-Austin-TX-78747/70342276_zpid/
"4802 Hale Dr, Austin, TX 78749","$575,000 ","2,144 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/4802-Hale-Dr-Austin-TX-78749/29491169_zpid/
"5608 Cordell Ln, Austin, TX 78723","$475,000 ","1,439 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5608-Cordell-Ln-Austin-TX-78723/29402573_zpid/
"285 Country Creek Dr, Austin, TX 78737","$659,900 ","2,777 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/285-Country-Creek-Dr-Austin-TX-78737/84141285_zpid/
"11814 Highland Oaks Trl, Austin, TX 78759","$525,000 ","1,445 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/11814-Highland-Oaks-Trl-Austin-TX-78759/29369137_zpid/
"4706 Rustown Dr, Austin, TX 78727","$495,000 ","2,094 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/4706-Rustown-Dr-Austin-TX-78727/58305472_zpid/
"12400 Cedar St, Austin, TX 78732","$35,000,000 ","15,394 sqft",13 ba,6 bds,https://www.zillow.com/homedetails/12400-Cedar-St-Austin-TX-78732/125904370_zpid/
"6504 Stonleigh Pl, Austin, TX 78744","$224,900 ","1,204 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/6504-Stonleigh-Pl-Austin-TX-78744/29503318_zpid/
"1608 Lakecliff Hills Ln, Austin, TX 78732","$1,899,000 ","4,524 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/1608-Lakecliff-Hills-Ln-Austin-TX-78732/89547294_zpid/
"305 Shep St, Austin, TX 78748","$399,999 ","1,299 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/305-Shep-St-Austin-TX-78748/29510942_zpid/
"6020 La Naranja Ln, Austin, TX 78749","$575,000 ","1,896 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/6020-La-Naranja-Ln-Austin-TX-78749/29486820_zpid/
"12509 Central Park Dr, Austin, TX 78732","$649,000 ","2,608 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/12509-Central-Park-Dr-Austin-TX-78732/70337569_zpid/
"12906 Broadmeade Ave, Austin, TX 78729","$550,000 ","2,117 sqft",3 ba,5 bds,https://www.zillow.com/homedetails/12906-Broadmeade-Ave-Austin-TX-78729/29554871_zpid/
"7408 Cordoba Dr, Austin, TX 78724","$795,000 ","2,390 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/7408-Cordoba-Dr-Austin-TX-78724/306647690_zpid/
"2710 E 22nd St, Austin, TX 78722","$749,900 ",560 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/2710-E-22nd-St-Austin-TX-78722/29392165_zpid/
"6368 Tasajillo Trl, Austin, TX 78739","$785,000 ","2,993 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/6368-Tasajillo-Trl-Austin-TX-78739/58315760_zpid/
"1408 Northwood Rd, Austin, TX 78703","$2,850,000 ","3,756 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/1408-Northwood-Rd-Austin-TX-78703/29337103_zpid/
"4600 Sojourner St, Austin, TX 78725","$379,000 ","1,664 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/4600-Sojourner-St-Austin-TX-78725/29459855_zpid/
"4325 Ganymede Dr, Austin, TX 78727","$799,950 ","2,359 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/4325-Ganymede-Dr-Austin-TX-78727/29442541_zpid/
"8617 Barrow Glen Loop, Austin, TX 78749","$618,000 ","2,013 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/8617-Barrow-Glen-Loop-Austin-TX-78749/29496199_zpid/
"4011 Alexandria Dr, Austin, TX 78749","$549,000 ","1,220 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/4011-Alexandria-Dr-Austin-TX-78749/29499200_zpid/
"910 E 13th St, Austin, TX 78702","$1,400,000 ",884 sqft,1 ba,3 bds,https://www.zillow.com/homedetails/910-E-13th-St-Austin-TX-78702/29388271_zpid/
"4504 Halliday Ave, Austin, TX 78725","$340,000 ","1,344 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/4504-Halliday-Ave-Austin-TX-78725/79981874_zpid/
"9813 Meadowheath Dr, Austin, TX 78729","$396,000 ","2,105 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/9813-Meadowheath-Dr-Austin-TX-78729/29549741_zpid/
"1184 Oak Grove Ave, Austin, TX 78702","$698,900 ","1,256 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/1184-Oak-Grove-Ave-Austin-TX-78702/29388642_zpid/
"4604 Borage Dr, Austin, TX 78744","$399,900 ","1,144 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/4604-Borage-Dr-Austin-TX-78744/29508645_zpid/
"6213 Pennwood Ln, Austin, TX 78745","$555,000 ","1,334 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/6213-Pennwood-Ln-Austin-TX-78745/29488210_zpid/
"5913 Diamondleaf Bnd, Austin, TX 78724","$393,900 ","2,047 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/5913-Diamondleaf-Bnd-Austin-TX-78724/305429175_zpid/
"11100 Crossland Dr, Austin, TX 78726","$799,900 ","2,810 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11100-Crossland-Dr-Austin-TX-78726/29376471_zpid/
"2305 Rockridge Dr, Austin, TX 78744","$299,000 ","1,440 sqft",1 ba,4 bds,https://www.zillow.com/homedetails/2305-Rockridge-Dr-Austin-TX-78744/29503362_zpid/
"Dickinson Plan, Urban Courtyard Homes at Easton Park","$513,760+","2,041 sqft",3 ba,3 bds,https://www.zillow.com/community/urban-courtyard-homes-at-easton-park/2061562381_zpid/
"1620 Sir Thopas Trl, Austin, TX 78748","$388,800 ","1,202 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1620-Sir-Thopas-Trl-Austin-TX-78748/58317327_zpid/
"10508 Lark Ct, Austin, TX 78758","$550,000 ","1,270 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/10508-Lark-Ct-Austin-TX-78758/29432528_zpid/
"1301 W 29th St, Austin, TX 78703","$11,750,000 ","6,528 sqft",7 ba,5 bds,https://www.zillow.com/homedetails/1301-W-29th-St-Austin-TX-78703/29397868_zpid/
"5304 Ponciana Dr, Austin, TX 78744","$333,000 ","1,101 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5304-Ponciana-Dr-Austin-TX-78744/29489268_zpid/
"6313 Zadock Woods Dr, Austin, TX 78749","$850,000 ","2,936 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/6313-Zadock-Woods-Dr-Austin-TX-78749/29484312_zpid/
"508 Academy Dr, Austin, TX 78704","$1,450,000 ","2,284 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/508-Academy-Dr-Austin-TX-78704/29381833_zpid/
"14904 Mistletoe Heights Dr, Austin, TX 78717","$525,000 ","1,791 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/14904-Mistletoe-Heights-Dr-Austin-TX-78717/80115957_zpid/
